,ID,LON,LAT,DATE,NS,country,pre_mm_syr,tmp_dc_syr,pet_mm_syr,aet_mm_syr,ari_ix_sav,cmi_ix_syr,basin_area_km2,HYBAS_ID,climdata_period_days,climdata_date_start,geometry,point_x,point_y,point_z,stream_x,stream_y,stream_z,ridge_x,ridge_y,ridge_z,wetness_index,long_hessian_max,long_hessian_mean,long_hessian_var,long_hessian_skew,long_hessian_kurt,long_grad_mean,long_grad_var,short_grad_max,short_grad_var,short_grad_mean,stream_grad_max,stream_grad_var,stream_grad_mean,stream_hessian_max,dist_stream,dist_top,ratio_dist,alt_stream,alt_top,ratio_stream,stream_to_total_dist_ratio,ndvi,precipitation
0,FA-0314-F,-11.0666666666667,10.0083333333333,2005-01-19,6.69,Guinee,1648,250,1992,1134,83,-17,117.91890985302008,1120815470,60.0,2004-11-20,POINT (-3756664.703665966 1150861.1807049424),-3756664.703665966,1150861.1807049424,464.502197265625,-3756679.2,1151179.8,456.51343,-3756859.2,1150999.8,478.9281,5.449882,0.0030698203,-0.00028387687,6.58844e-07,0.42246994,3.8243248,5.0195208,10.485062,8.918386,3.0630553,3.8587985,3.1122253,0.12356362,2.5006099,-0.0005256973,318.9012254402534,238.8508438728086,1.3351479955836905,7.98876953125,14.4259033203125,0.025050921394927993,0.5717616177256288,5734.256,0.13781552
1,GK-0236-F,-10.0036111111111,8.54444444444444,2007-07-13,19.0,Guinee,2543,251,2033,1540,125,20,140.07538985547734,1120878950,60.0,2007-05-14,POINT (-3643401.3232598146 981712.9501278521),-3643401.3232598146,981712.9501278521,534.5758666992188,-3643249.2,981529.75,517.7476,-3643399.2,981799.75,533.4269,3.700053,0.0070869024,-9.292457e-05,1.9719348e-06,0.8054766,5.4131637,7.268267,27.258715,11.583027,2.0815732,8.271422,8.437348,9.071832,5.8054924,-1.1201348e-05,238.09360175295677,86.82462905847763,2.742235749635018,16.8282470703125,-1.14898681640625,0.07067912344731253,0.7327800633357932,5513.0977,8.1681185
2,GK-0239-F,-9.93416666666667,8.54444444444444,2007-07-16,60.0,Guinee,2663,245,2014,1570,132,24,179.26182785927202,1121984930,60.0,2007-05-17,POINT (-3636173.631286524 981820.524390801),-3636173.631286524,981820.524390801,502.73944091796875,-3636319.2,981889.75,501.5725,-3635959.2,982189.75,687.57874,6.769238,0.013162328,-0.00056180544,2.8345742e-06,1.3874537,13.450015,11.302436,154.37141,11.042474,7.4393234,4.9546475,2.8274543,1.4846839,1.0905378,-0.0001091572,161.23583560563915,426.95068392026263,0.37764510440683957,1.16693115234375,184.83929443359375,0.007237418083644286,0.2741236499870835,5062.268,8.376538
3,GK-0234-F,-10.1388888888889,8.55361111111111,2007-07-12,30.0,Guinee,2477,257,2048,1522,121,17,18.636467909623825,1120878730,30.0,2007-05-13,POINT (-3657496.8930560322 982574.925977153),-3657496.8930560322,982574.925977153,436.2034606933594,-3657199.2,982759.75,425.35696,-3657319.2,982309.75,460.8123,4.568884,0.003233018,-0.00023409733,7.753918e-07,0.6809943,4.3290114,5.2645717,12.885044,3.7389212,0.24231683,2.6996782,3.073461,1.2545346,2.0394392,0.00016765196,350.3588278116627,319.1791882556371,1.0976869442096995,10.84649658203125,24.60882568359375,0.030958251144343488,0.5232844430097988,4956.476,7.8006816
4,NZ-0203-F,-8.89166666666667,7.035,2006-02-16,9.0,Guinee,2069,258,1967,1464,105,5,10.137312300078746,1120939340,30.0,2005-12-18,POINT (-3525118.848679142 806475.2426322955),-3525118.848679142,806475.2426322955,238.75987243652344,-3525259.2,806839.75,233.78017,-3525049.2,806419.75,238.14992,2.61533,0.0015285806,-3.3253767e-05,7.30843e-08,-0.32430965,10.902177,0.4703712,1.2448354,4.9764915,2.802325,2.3012583,4.574475,2.5904658,0.92983264,0.00073790125,390.61253437330396,89.01352918181323,4.38823781018124,4.979705810546875,-0.609954833984375,0.012748453703709944,0.8144105670112649,6646.1816,1.5610516
5,NZ-0204-F,-8.89166666666667,7.035,2006-02-18,8.45,Guinee,2069,258,1967,1464,105,5,10.137312300078746,1120939340,30.0,2005-12-20,POINT (-3525118.848679142 806475.2426322955),-3525118.848679142,806475.2426322955,238.75987243652344,-3525259.2,806839.75,233.78017,-3525049.2,806419.75,238.14992,2.61533,0.0015285806,-3.3253767e-05,7.30843e-08,-0.32430965,10.902177,0.4703712,1.2448354,4.9764915,2.802325,2.3012583,4.574475,2.5904658,0.92983264,0.00073790125,390.61253437330396,89.01352918181323,4.38823781018124,4.979705810546875,-0.609954833984375,0.012748453703709944,0.8144105670112649,6652.7485,1.5610516
6,YO-0109-P,-8.74305555555556,7.41666666666667,2003-06-22,8.65,Guinee,2203,244,1944,1397,113,12,130.97767558432696,1120925240,60.0,2003-04-23,POINT (-3510306.1941984156 851505.8969072389),-3510306.1941984156,851505.8969072389,432.3140869140625,-3510499.2,851599.75,412.18768,-3510019.2,851149.75,497.82535,3.3376782,0.005026358,-0.00011661089,2.170478e-06,0.5684579,4.117735,8.028686,37.271793,9.922834,4.9586067,6.1303124,9.059865,7.942181,5.6705966,0.0006385085,214.66006975266382,457.35936914005947,0.4693466106450907,20.12640380859375,65.51126098632812,0.09375942079858562,0.31942538761431677,5889.096,9.043851
7,YO-0144-F,-9.39583333333333,7.44722222222222,2006-01-22,11.79,Guinee,2105,250,1921,1442,110,9,122.95789224305105,1120925570,60.0,2005-11-23,POINT (-3578262.661052695 854106.5238077072),-3578262.661052695,854106.5238077072,330.11846923828125,-3577999.2,853939.75,320.62213,-3578629.2,853849.75,376.65634,3.2441375,0.008061133,-0.00040375846,2.2859945e-06,1.3543755,7.1980696,8.639391,61.264263,17.375652,31.283754,8.376,11.034812,10.22738,2.5303617,0.00082786754,311.76735816801863,447.5714966468004,0.6965755426870912,9.496337890625,46.537872314453125,0.030459692593947582,0.4105773808243353,5889.6177,0.8559825
8,NZ-0193-F,-8.9875,7.00416666666667,2006-02-01,9.3,Guinee,2051,257,1948,1457,105,5,209.27608946430158,1120945520,60.0,2005-12-03,POINT (-3535033.518455741 802709.4428114981),-3535033.518455741,802709.4428114981,236.9401088037108,-3535039.2,802699.75,236.94011,-3534739.2,802669.75,253.129,12.959634,0.0022527666,-8.4720414e-05,4.2815682e-07,-0.046079066,3.0290425,3.215562,3.3012445,4.629006,2.8280342,1.8680285,,,,,11.260603639682362,296.933398809921,0.03792299446547179,-4.4921887365489965e-07,16.18888899902356,-1.4973962455163322e-08,0.03653738732804745,6649.218,0.50122136
9,YO-0106-F,-9.12777777777778,7.62222222222222,2003-07-10,7.37,Guinee,2107,244,1953,1425,108,7,207.27494741007013,1120919560,60.0,2003-05-11,POINT (-3550676.494725738 875041.3608466341),-3550676.494725738,875041.3608466341,398.1357421875,-3550729.2,874999.75,396.00507,-3550519.2,875059.75,406.4055,5.2036347,0.0039049422,-0.00022510721,5.116817e-07,-0.1773073,6.5492687,3.3132923,12.482066,6.054075,2.1008434,3.400115,,,,,67.19063565742653,158.31634386250397,0.4244074491499176,2.13067626953125,8.269744873046875,0.031710911032224294,0.2979536855154772,5485.087,9.315321
10,YO-0105-F,-9.12777777777778,7.62222222222222,2003-05-28,5.05,Guinee,2107,244,1953,1425,108,7,207.27494741007013,1120919560,60.0,2003-03-29,POINT (-3550676.494725738 875041.3608466341),-3550676.494725738,875041.3608466341,398.1357421875,-3550729.2,874999.75,396.00507,-3550519.2,875059.75,406.4055,5.2036347,0.0039049422,-0.00022510721,5.116817e-07,-0.1773073,6.5492687,3.3132923,12.482066,6.054075,2.1008434,3.400115,,,,,67.19063565742653,158.31634386250397,0.4244074491499176,2.13067626953125,8.269744873046875,0.031710911032224294,0.2979536855154772,6049.59,5.5125046
11,NZ-0178-F,-8.73333333333333,7.625,2005-12-11,4.68,Guinee,2037,243,1947,1365,105,4,134.2905650846706,1120918840,60.0,2005-10-12,POINT (-3509645.748026494 875959.7451015338),-3509645.748026494,875959.7451015338,434.22312502929685,-3509869.2,876259.75,439.35434,-3509659.2,875749.75,448.9127,7.198616,0.0021297731,-0.00015737207,4.8899e-07,-0.096166536,3.3319073,3.4216735,4.928863,9.237446,5.638703,3.5694616,5.5471354,3.037101,1.9406203,0.00048725284,374.10703183019945,210.42871942004987,1.7778325737154779,-5.1312145703125225,14.689564179687522,-0.01371589981939043,0.6400071014134396,6781.5513,4.2489157
12,NZ-0173-F,-8.79166666666667,7.64111111111111,2005-12-08,9.91,Guinee,2026,242,1958,1375,103,3,179.05629276001483,1120917910,60.0,2005-10-09,POINT (-3515741.555613503 877761.9320288142),-3515741.555613503,877761.9320288142,460.3606262207031,-3515749.2,877309.75,454.4672,-3515449.2,877699.75,468.68024,3.3043306,0.002177523,-0.00010010496,3.6532114e-07,-0.08590162,3.7701633,2.8921385,3.0817738,7.062322,2.3393943,3.8149757,5.1922135,1.2370491,3.5571127,0.0013206423,452.2474884022138,298.8464093689863,1.5133107650753896,5.8934326171875,8.319610595703125,0.013031432497301296,0.6021184431723055,6689.303,4.211307
13,NZ-0175-F,-8.79166666666667,7.64111111111111,2005-12-09,7.34,Guinee,2026,242,1958,1375,103,3,179.05629276001483,1120917910,60.0,2005-10-10,POINT (-3515741.555613503 877761.9320288142),-3515741.555613503,877761.9320288142,460.3606262207031,-3515749.2,877309.75,454.4672,-3515449.2,877699.75,468.68024,3.3043306,0.002177523,-0.00010010496,3.6532114e-07,-0.08590162,3.7701633,2.8921385,3.0817738,7.062322,2.3393943,3.8149757,5.1922135,1.2370491,3.5571127,0.0013206423,452.2474884022138,298.8464093689863,1.5133107650753896,5.8934326171875,8.319610595703125,0.013031432497301296,0.6021184431723055,6668.74,4.064112
14,NZ-0176-F,-8.79166666666667,7.64111111111111,2005-12-10,10.96,Guinee,2026,242,1958,1375,103,3,179.05629276001483,1120917910,60.0,2005-10-11,POINT (-3515741.555613503 877761.9320288142),-3515741.555613503,877761.9320288142,460.3606262207031,-3515749.2,877309.75,454.4672,-3515449.2,877699.75,468.68024,3.3043306,0.002177523,-0.00010010496,3.6532114e-07,-0.08590162,3.7701633,2.8921385,3.0817738,7.062322,2.3393943,3.8149757,5.1922135,1.2370491,3.5571127,0.0013206423,452.2474884022138,298.8464093689863,1.5133107650753896,5.8934326171875,8.319610595703125,0.013031432497301296,0.6021184431723055,6648.1772,3.9312117
15,NZ-0174-F,-8.79166666666667,7.64111111111111,2005-12-08,9.49,Guinee,2026,242,1958,1375,103,3,179.05629276001483,1120917910,60.0,2005-10-09,POINT (-3515741.555613503 877761.9320288142),-3515741.555613503,877761.9320288142,460.3606262207031,-3515749.2,877309.75,454.4672,-3515449.2,877699.75,468.68024,3.3043306,0.002177523,-0.00010010496,3.6532114e-07,-0.08590162,3.7701633,2.8921385,3.0817738,7.062322,2.3393943,3.8149757,5.1922135,1.2370491,3.5571127,0.0013206423,452.2474884022138,298.8464093689863,1.5133107650753896,5.8934326171875,8.319610595703125,0.013031432497301296,0.6021184431723055,6689.303,4.211307
16,NZ-0172-F,-8.79166666666667,7.64111111111111,2005-12-07,11.14,Guinee,2026,242,1958,1375,103,3,179.05629276001483,1120917910,60.0,2005-10-08,POINT (-3515741.555613503 877761.9320288142),-3515741.555613503,877761.9320288142,460.3606262207031,-3515749.2,877309.75,454.4672,-3515449.2,877699.75,468.68024,3.3043306,0.002177523,-0.00010010496,3.6532114e-07,-0.08590162,3.7701633,2.8921385,3.0817738,7.062322,2.3393943,3.8149757,5.1922135,1.2370491,3.5571127,0.0013206423,452.2474884022138,298.8464093689863,1.5133107650753896,5.8934326171875,8.319610595703125,0.013031432497301296,0.6021184431723055,6709.8667,4.345863
17,NZ-0157-F,-8.73194444444444,7.67916666666667,2005-11-12,6.05,Guinee,2037,243,1947,1365,105,4,134.2905650846706,1120918840,60.0,2005-09-13,POINT (-3509592.452033217 882313.7600630212),-3509592.452033217,882313.7600630212,467.725830078125,-3509749.2,882409.75,463.75427,-3509689.2,882109.75,484.0557,6.754165,0.001963468,-0.00015275154,5.011317e-07,-0.021424366,2.711773,3.8164,5.9075837,5.9860406,1.7994732,2.0361512,5.099764,2.0506701,2.462063,0.0012496203,183.8468666810894,225.80954848550726,0.8141678149313909,3.9715576171875,16.329864501953125,0.021602530893696306,0.44878307741457835,7207.8555,8.363855
