,ID,LON,LAT,DATE,NS,country,pre_mm_syr,tmp_dc_syr,pet_mm_syr,aet_mm_syr,ari_ix_sav,cmi_ix_syr,basin_area_km2,HYBAS_ID,climdata_period_days,climdata_date_start,geometry,point_x,point_y,point_z,stream_x,stream_y,stream_z,ridge_x,ridge_y,ridge_z,wetness_index,long_hessian_max,long_hessian_mean,long_hessian_var,long_hessian_skew,long_hessian_kurt,long_grad_mean,long_grad_var,short_grad_max,short_grad_var,short_grad_mean,stream_grad_max,stream_grad_var,stream_grad_mean,stream_hessian_max,dist_stream,dist_top,ratio_dist,alt_stream,alt_top,ratio_stream,stream_to_total_dist_ratio,ndvi,precipitation
0,FA-0314-F,-11.0666666666667,10.0083333333333,2005-01-19,6.69,Guinee,1648,250,1992,1134,83,-17,117.91890985302008,1120815470,60.0,2004-11-20,POINT (-3756664.703665966 1150861.1807049424),-3756664.703665966,1150861.1807049424,470.6207580566406,-3756679.2,1151179.8,463.6409,-3756499.2,1150909.8,481.88086,5.840367,0.00073698256,-0.00014733223,7.250474e-08,-0.084089994,3.4902887,2.471987,2.6251228,4.3754835,1.4183447,1.9075507,2.0606186,0.12256613,1.7017971,-0.00014046331,318.9012254402534,172.4351820367084,1.8493976790210074,6.9798583984375,11.260101318359375,0.021887210965720123,0.6490486367127319,5734.256,0.13781552
1,GK-0236-F,-10.0036111111111,8.54444444444444,2007-07-13,19.0,Guinee,2543,251,2033,1540,125,20,140.07538985547734,1120878950,60.0,2007-05-14,POINT (-3643401.3232598146 981712.9501278521),-3643401.3232598146,981712.9501278521,533.8011474609375,-3643219.2,981559.75,521.66425,-3643549.2,981739.75,544.66406,4.1457157,0.0013332298,-5.4804477e-06,1.541574e-07,0.6438604,3.2019227,3.7837749,5.2673717,5.616605,0.3669573,4.698862,5.4263935,3.33193,3.2890558,-5.8864942e-05,237.95157304259445,150.33480504862285,1.5828109330080526,12.13690185546875,10.8629150390625,0.05100576432539989,0.6128249314651316,5513.0977,8.1681185
2,GK-0239-F,-9.93416666666667,8.54444444444444,2007-07-16,60.0,Guinee,2663,245,2014,1570,132,24,179.26182785927202,1121984930,60.0,2007-05-17,POINT (-3636173.631286524 981820.524390801),-3636173.631286524,981820.524390801,511.9670715332031,-3636409.2,981829.75,511.6047,-3635929.2,982129.75,620.85223,6.32996,0.005282999,-0.00034564285,8.1083414e-07,1.1402099,9.580444,8.131279,68.48885,11.14798,12.502761,4.1485934,3.3656576,1.0889137,0.4285911,3.982818e-08,235.79925785567414,394.1353708911735,0.5982697196714722,0.36236572265625,108.88516235351562,0.0015367551448276548,0.3743233775300754,5062.268,8.376538
3,GK-0234-F,-10.1388888888889,8.55361111111111,2007-07-12,30.0,Guinee,2477,257,2048,1522,121,17,18.636467909623825,1120878730,30.0,2007-05-13,POINT (-3657496.8930560322 982574.925977153),-3657496.8930560322,982574.925977153,434.9346923828125,-3657199.2,982699.75,427.91776,-3657259.2,982309.75,450.61627,5.2371855,0.00092308794,-7.556369e-05,9.0748124e-08,0.57038844,3.5098214,2.542932,2.332842,2.375048,0.26661777,1.2835562,1.8310362,0.08980008,1.4951288,0.00013879368,322.75753358198,356.07937449309975,0.9064201880309541,7.016937255859375,15.68157958984375,0.021740583954726132,0.4754566667525432,4956.476,7.8006816
4,NZ-0203-F,-8.89166666666667,7.035,2006-02-16,9.0,Guinee,2069,258,1967,1464,105,5,10.137312300078746,1120939340,30.0,2005-12-18,POINT (-3525118.848679142 806475.2426322955),-3525118.848679142,806475.2426322955,232.23039041015454,-3525229.2,806899.75,232.2291,-3525079.2,806329.75,234.33951,7.7232685,0.00022617947,-5.5771648e-06,5.917703e-09,-1.4459074,8.187077,0.19257627,0.16308758,1.3665076,0.23786806,0.392431,0.25348184,0.0041122735,0.02268236,4.8932725e-07,438.62849529254646,150.785149938785,2.908963485267738,0.0012949511701663141,2.1091176464860837,2.9522732427646702e-06,0.7441777075255779,6646.1816,1.5610516
5,NZ-0204-F,-8.89166666666667,7.035,2006-02-18,8.45,Guinee,2069,258,1967,1464,105,5,10.137312300078746,1120939340,30.0,2005-12-20,POINT (-3525118.848679142 806475.2426322955),-3525118.848679142,806475.2426322955,232.23039041015454,-3525229.2,806899.75,232.2291,-3525079.2,806329.75,234.33951,7.7232685,0.00022617947,-5.5771648e-06,5.917703e-09,-1.4459074,8.187077,0.19257627,0.16308758,1.3665076,0.23786806,0.392431,0.25348184,0.0041122735,0.02268236,4.8932725e-07,438.62849529254646,150.785149938785,2.908963485267738,0.0012949511701663141,2.1091176464860837,2.9522732427646702e-06,0.7441777075255779,6652.7485,1.5610516
6,YO-0109-P,-8.74305555555556,7.41666666666667,2003-06-22,8.65,Guinee,2203,244,1944,1397,113,12,130.97767558432696,1120925240,60.0,2003-04-23,POINT (-3510306.1941984156 851505.8969072389),-3510306.1941984156,851505.8969072389,428.47943115234375,-3510529.2,851629.75,414.8801,-3510049.2,851149.75,476.79544,4.875905,0.0016835912,-6.391069e-05,2.0841253e-07,1.4031191,5.3167186,4.8958483,12.479806,5.329897,0.10636064,4.759627,4.796456,2.2668867,3.2570672,-5.1226798e-05,255.1342376219807,439.15935676614737,0.580960495754255,13.599334716796875,48.316009521484375,0.05330266468174417,0.3674731261878157,5889.096,9.043851
7,YO-0144-F,-9.39583333333333,7.44722222222222,2006-01-22,11.79,Guinee,2105,250,1921,1442,110,9,122.95789224305105,1120925570,60.0,2005-11-23,POINT (-3578262.661052695 854106.5238077072),-3578262.661052695,854106.5238077072,335.9072265625,-3577999.2,853849.75,321.8692,-3578599.2,853849.75,354.03546,4.5801506,0.0012789157,-0.00019806073,2.2068657e-07,-0.1249553,3.6085868,5.528427,31.115496,5.7603583,0.3202894,4.795307,5.2723317,3.2331522,2.4849963,-7.183359e-05,367.8561825039363,423.34962828890906,0.8689181657976984,14.03802490234375,18.12823486328125,0.03816172072136788,0.46493109313153025,5889.6177,0.8559825
8,NZ-0193-F,-8.9875,7.00416666666667,2006-02-01,9.3,Guinee,2051,257,1948,1457,105,5,209.27608946430158,1120945520,60.0,2005-12-03,POINT (-3535033.518455741 802709.4428114981),-3535033.518455741,802709.4428114981,241.47179855468738,-3535069.2,802699.75,241.4718,-3535489.2,802639.75,248.10977,16.371681,0.00032458283,-1.2625433e-05,2.8688309e-08,-0.8016199,3.4102826,1.1968346,0.49454564,0.8839104,0.048617397,0.12216591,,,,,37.02288278713971,461.02963940206945,0.08030477787752732,-3.2031251180342224e-06,6.637973173828243,-8.651744210331622e-08,0.07433529826212744,6649.218,0.50122136
9,YO-0106-F,-9.12777777777778,7.62222222222222,2003-07-10,7.37,Guinee,2107,244,1953,1425,108,7,207.27494741007013,1120919560,60.0,2003-05-11,POINT (-3550676.494725738 875041.3608466341),-3550676.494725738,875041.3608466341,400.6984558105469,-3550699.2,874939.75,399.45044,-3551119.2,874789.75,419.32288,5.25875,0.0010363135,-7.564712e-05,4.1801517e-08,-0.04052155,4.4196463,1.570851,2.3118887,1.4148184,0.098759845,0.95088136,1.1919936,0.13614321,0.7583205,-2.0445448e-05,104.12764599488906,509.25460334748294,0.20447070151242008,1.248016357421875,18.624420166015625,0.011985446761018028,0.1697597967768514,5485.087,9.315321
